,Date,Brand,ProductDescription,Reason,Company,Url
527,"Fri, 27 Aug 2010 20:49:00 -0400","QUESERIA CHIPILO, QUESO CHIPILO,   CHIPILO, more",,Listeria monocytogenes,QUESERIA CHIPILO INC.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224300.htm
528,"Fri, 27 Aug 2010 11:16:00 -0400",,,Salmonella,Sparboe Farms,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224301.htm
529,"Fri, 27 Aug 2010 00:00:00 -0400",Paleta California,Frozen Mamey Fruit Bars,Salmonella typhi,Paleta California Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224510.htm
530,"Thu, 26 Aug 2010 00:00:00 -0400",Torn &amp; Glasser,"Mixed nuts, no peanuts",Undeclared Peanuts,Torn &amp; Glasser,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224569.htm
531,"Thu, 26 Aug 2010 00:00:00 -0400","Wagon Trail, West Creek, Sam’s",Eggs,Salmonella,"Cal-Maine Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224199.htm
532,"Thu, 26 Aug 2010 00:00:00 -0400","Queseria Chipilo, Chipilo, Aztlan, more",Cheese,Listeria monocytogenes,"Queseria Chipilo, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224627.htm
533,"Wed, 25 Aug 2010 17:31:00 -0400",Cardenas Market,Eggs,Salmonella,Wright County Egg,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224085.htm
534,"Wed, 25 Aug 2010 16:51:00 -0400","Trafficanda Ranch, Trafficanda Family",Eggs,Salmonella,Trafficanda Egg Ranch,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224076.htm
535,"Tue, 24 Aug 2010 16:47:00 -0400",MasXtreme,Dietary supplement capsules,"Undeclared drug substance: Aminotadalafil, an analog of tadalafil","Natural Wellness, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223937.htm
536,"Tue, 24 Aug 2010 00:00:00 -0400",Queso El Azteca,,Listeria monocytogenes,Azteca Linda Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223977.htm
537,"Mon, 23 Aug 2010 21:32:00 -0400","Yucaipa Valley, Albertsons, Mountain Dairy, Farmer’s Gems",Eggs,Salmonella,"Moark, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223747.htm
538,"Fri, 20 Aug 2010 00:00:00 -0400",Aunt Patty&#39;s,Whole Raw Pistachio and Whole Raw Pistachio Kernels,Salmonella,"GloryBee Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223531.htm
539,"Fri, 20 Aug 2010 00:00:00 -0400",NeuroBalloon,NeuroBalloon Catheter,Potential complications concerning inflation or deflation of the balloon component during intracranial procedures,Integra LifeSciences Corporation,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223824.htm
540,"Fri, 20 Aug 2010 00:00:00 -0400",Milton&#39;s,Bread,Undeclared milk,Milton&#39;s Baking Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223539.htm
541,"Fri, 20 Aug 2010 00:00:00 -0400","Bayview, Becky, Cal, more",Eggs,Salmonella,NuCal Foods,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223760.htm
542,"Fri, 20 Aug 2010 00:00:00 -0400","Hillandale Farms, Sunny Farms, Sunny Meadow, more",Eggs,Salmonella,"Hillandale Farms of Iowa, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223452.htm
543,"Fri, 20 Aug 2010 00:00:00 -0400","CRF, Alta Dena Dairy, Driftwood Dairy, more",Eggs,Salmonella,Luberski Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223549.htm
544,"Thu, 19 Aug 2010 16:05:00 -0400","Country Eggs, Inc.",Eggs,Salmonella,"Country Eggs, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223328.htm
545,"Thu, 19 Aug 2010 00:00:00 -0400",AustiNuts,Pistachio kernel products,Salmonella,"AustiNuts Wholesale, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223524.htm
546,"Thu, 19 Aug 2010 00:00:00 -0400","Snow White Food Products, Inc.",Sprouts,Salmonella,"Snow White Food Products, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223487.htm
547,"Wed, 18 Aug 2010 21:47:00 -0400","Albertsons, Farm Fresh, James Farms, more",Eggs,Salmonella,Wright County Egg,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223139.htm
548,"Wed, 18 Aug 2010 20:26:00 -0400",Moonstruck,Candy,Undeclared peanuts,Moonstruck Chocolate Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223131.htm
549,"Wed, 18 Aug 2010 15:39:00 -0400",Don Wands,"Dietary supplement, Mr. Magic Male Enhancer","Undeclared drug substance: Sulfoaildenafil and Hydroxythiosildenofil, analogues of Sildenafil","Glow Industries, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223082.htm
550,"Wed, 18 Aug 2010 00:22:00 -0400",Slim-30,Slim-30 Herb Supplement,Undeclared drug substance: Desmethyl Sibutramine,J &amp; H Besta Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223141.htm
551,"Wed, 18 Aug 2010 00:00:00 -0400",Fruiti Pops,Frozen Mamey Fruit Bars,Salmonella Typhi,"Fruiti Pops, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm224278.htm
552,"Wed, 18 Aug 2010 00:00:00 -0400",La Nuestra,Mamey pulp,Salmonella,"Montalvan’s Sales, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223383.htm
553,"Tue, 17 Aug 2010 19:16:00 -0400","Equate, Meijer, Walborn, Safeway, Equaline, Top Care, Your Life,

CVS, Longs Wellness, Trader Darwin’s, Target, Safeway Select, 

Premier Value, Sunmark, Target Up &amp; Up","Dietary supplement: Air Shield, Air Protector, Immune System Support, and AirHealth Effervescent Tablets and Stick Packs",Undeclared Soy,"NBTY Acquisition, LLC, dba Leiner Health Products",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222865.htm
554,"Tue, 17 Aug 2010 00:00:00 -0400","Bayview, Mountain Dairy, Nulaid, more",Eggs,Salmonella,NuCal Foods,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223140.htm
555,"Tue, 17 Aug 2010 00:00:00 -0400",NY Fish,Smoked Herring,Clostridium botulinum,"NY Fish, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm223727.htm
556,"Tue, 17 Aug 2010 00:00:00 -0400",Golden Bridge,Dried Dates,Undeclared Sulfites,"Sunny Lake Trading, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222964.htm
557,"Mon, 16 Aug 2010 00:00:00 -0400",Food City,Low carb white and whole wheat tortillas,Undeclared Soy,Elie Baking Corp. dba Near East Baking Corporation,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222940.htm
558,"Sat, 14 Aug 2010 00:00:00 -0400",Kroger,Meals Made Simple Shrimp Linguini,Undeclared milk product,"Contessa Premium Foods, Inc., Kroger Co.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222663.htm
559,"Fri, 13 Aug 2010 23:03:00 -0400",Goya Foods,Frozen Mamey Pulp,Potentially contaminated with Salmonella,"Goya Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222506.htm
560,"Fri, 13 Aug 2010 22:05:00 -0400",1-Lucerne; 2-Albertson; 3-Mountain Dairy; 4-Ralph’s; 5-Boomsma’s; 6-Sunshine; 7-Hillandale; 8-Trafficanda; 9-Farm Fresh; 10-Shoreland; 11-Lund; 12-Dutch Farms; and 13-Kemps,Shell eggs,Potentially contaminated with Salmonella,Wright County Egg,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222501.htm
561,"Fri, 13 Aug 2010 00:00:00 -0400",Merrick,"Dog treats - Texas Hold&#39;ems, Beef Filet Squares",Potentially contaminated with Salmonella,"Merrick Petcare, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222585.htm
562,"Tue, 10 Aug 2010 19:40:00 -0400",Novacare,"Dietary Supplement: Stiff Nights, Aziffa, Size Matters, Erex, Mojo, Hard Drive, Eyeful, Red Magic, Straight Up, Zotrex, Monster Excyte, WOW, Xaitrex, Verect, Prolatis, Xytamax, Maxyte, Libidinal, OMG, OMG45, Zilex (with Golden Spear)",Undeclared drug substance: Sulfoaildenafil,"Novacare, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221958.htm
563,"Tue, 10 Aug 2010 18:08:00 -0400",Fresh Express,Veggie Lovers Salad,Listeria monocytogenes,Fresh Express,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221943.htm
564,"Mon, 09 Aug 2010 17:27:00 -0400",INOMAX,Nitric Oxide drug-delivery system,Potential failure of a pressure switch which may have an impact on administration,"Ikaria, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221940.htm
565,"Mon, 09 Aug 2010 00:00:00 -0400",Golden Smell,Dried Potatoes,Undeclared Sulfites,"Strong America, Ltd.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222336.htm
566,"Mon, 09 Aug 2010 00:00:00 -0400",Prolatis’,Dietary supplement,"Undeclared drug substance: Sulfoaildenafil, an analogue of Sildenafil",Prolatis’,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222315.htm
567,"Fri, 06 Aug 2010 22:52:00 -0400",EZVille,Solo Slim® and Solo Slim® Extra Strength capsules,Undeclared drug substance: Didesmethyl sibutramine,"EZVille, Ltd",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221660.htm
568,"Fri, 06 Aug 2010 19:21:00 -0400",Rehmat,Dried apricots,Undeclared sulfites,Tiger King Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm225114.htm
569,"Fri, 06 Aug 2010 18:07:00 -0400",South Bend Chocolate Company,"Bountiful Blend, a blend of chocolate covered mixed nuts and dried fruits",undeclared tree nuts,South Bend Chocolate Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221658.htm
570,"Fri, 06 Aug 2010 00:00:00 -0400",EZVille,Revivexxx® Extra Strength tablet,Undeclared drug substance: tadalafil,EZVille Ltd,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221663.htm
571,"Fri, 06 Aug 2010 00:00:00 -0400",Queso Cotija,Cotija Cheese,Staphylococcus aureus,Mexicali Cheese Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm222631.htm
572,"Wed, 04 Aug 2010 00:00:00 -0400",Eugenio Brezzi,,Under-processed resulting in possible contamination with microorganisms,"Optimus, Inc., d/b/a/ Marky&#39;s",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221422.htm
573,"Tue, 03 Aug 2010 00:00:00 -0400",Merrick,Texas Hold&#39;ems Beef Filet Squares for Dogs,Potentially contaminated with Salmonella,"Merrick Petcare, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm221198.htm
574,"Fri, 30 Jul 2010 23:35:00 -0400","Iams, Eukanuba",Dry Pet Food,Salmonella,The Procter &amp; Gamble Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220780.htm
575,"Fri, 30 Jul 2010 00:41:00 -0400",NeoProfen,Ibuprofen lysine anti-inflammatory injection,Visible particulate matter,"Lundbeck, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220771.htm
576,"Thu, 29 Jul 2010 16:24:00 -0400",Specialty Farms,Sprouts,Listeria monocytogenes,"Specialty-Farms, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220589.htm
577,"Wed, 28 Jul 2010 17:56:00 -0400","Ejaculoid XXTREME, Stimuloid II",Dietary Supplement,Contains undeclared drug ingredient,"Nutraloid Labs, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220601.htm
578,"Wed, 28 Jul 2010 00:00:00 -0400",Chef&#39;s Cupboard,Canned Soup,"Undeclared egg and wheat, mislabeled",Bay Valley Foods,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220732.htm
579,"Tue, 27 Jul 2010 17:26:00 -0400",Mice Direct,"Reptile feed - mice, rats, chicks",Salmonella,"Biggers &amp; Callaham LLC., D/B/A Mice Direct",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220367.htm
580,"Sun, 25 Jul 2010 15:38:00 -0400",Iams,cat food,Salmonella,The Procter &amp; Gamble Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220204.htm
581,"Fri, 23 Jul 2010 03:36:00 -0400",,Corn and poblano pepper blend,Listeria monocytogenes,"Pasco Processing, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220177.htm
582,"Fri, 23 Jul 2010 03:04:00 -0400",Specialty Farms,sprouts,Listeria monocytogenes,"Specialty-Farms, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220174.htm
583,"Fri, 23 Jul 2010 02:02:00 -0400",Oregon Ice Cream Co.,,Undeclared peanuts,Oregon Ice Cream Company LLC,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220170.htm
584,"Fri, 23 Jul 2010 00:00:00 -0400",Airgas South,Medical Gas Products,"Does not comply with GMP&#39;s, Chemical contamination","Airgas South, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220227.htm
585,"Fri, 23 Jul 2010 00:00:00 -0400",KCB,Cake Rusk,Undeclared egg,"Kashmir Crown Baking, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220876.htm
586,"Thu, 22 Jul 2010 17:48:00 -0400",Chepito,Candy,undeclared eggs,Dulcería Chepito,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220370.htm
587,"Thu, 22 Jul 2010 11:47:00 -0400",Joyful Slim Herb Supplement,,Contains undeclared drug ingredient,J &amp; H Besta Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219962.htm
588,"Thu, 22 Jul 2010 02:40:00 -0400",Raquel&#39;s,"hummus, salads, wraps, sandwiches, and other food items","Listeria monocytogenes, undeclared soy",Quong Hop &amp; Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220173.htm
589,"Thu, 22 Jul 2010 00:00:00 -0400",PreserVision,Vitamins,"Difficulty swallowing, Choking hazard",Bausch + Lomb,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm220353.htm
590,"Wed, 21 Jul 2010 00:00:00 -0400",DeBoles,Gluten Free Tubettini Corn Pasta,Undeclared wheat,"DeBoles Nutritional Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219994.htm
591,"Tue, 20 Jul 2010 00:00:00 -0400","Ciaglia Blue Rhino, Ciaglia Blue Dolphin",Tracheostomy Introducer Sets and Trays,Air leakage,Cook Medical,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219722.htm
592,"Fri, 16 Jul 2010 00:00:00 -0400",Slim-30 Herb Supplement,Dietary Supplement,Contains undeclared drug ingredient,J &amp; H Besta Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219449.htm
593,"Fri, 16 Jul 2010 00:00:00 -0400","Good Health, Inc.",Dietary supplement Vialipro,Adulterated: Undeclared drug substance (Sulfoaildenafil),"Good Health, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219558.htm
594,"Thu, 15 Jul 2010 14:35:00 -0400",Feline’s Pride,Cat Food,Salmonella,Feline’s Pride,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219200.htm
595,"Thu, 15 Jul 2010 00:00:00 -0400",Haifa,herring,potential for botulism,"D &amp; M Smoked Fish, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219439.htm
596,"Tue, 13 Jul 2010 15:26:00 -0400",Diamond,Dry Apricot Rolled,Undeclared sulfites,Diamond USA Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219037.htm
597,"Tue, 13 Jul 2010 01:48:00 -0400",Fresh Express,Romaine-based ready-to-eat salads,E. coli O157:H7,Fresh Express,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm219057.htm
598,"Mon, 12 Jul 2010 10:21:00 -0400",Coumadin,Coumadin Tablets,Subpotent,Bristol-Myers Squibb,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218864.htm
599,"Sat, 10 Jul 2010 18:18:00 -0400",Quality Food Center,Broccoli Raisin Salad Kit,Undeclared walnuts,Quality Food Center,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218939.htm
600,"Thu, 08 Jul 2010 18:15:00 -0400",Miravalle,Chile Peppers,Salmonella,Miravalle Foods Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218474.htm
601,"Thu, 08 Jul 2010 16:07:00 -0400",Señor Mexicano,Avocado Pulp,Listeria monocytogenes,"J. Hellman Frozen Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218455.htm
602,"Thu, 08 Jul 2010 14:34:00 -0400",Benadryl; Tylenol; Motrin,Over the counter (OTC) products,"Uncharacteristic smell caused by the presence of trace amounts of a chemical called 2,4,6-tribromoanisole (TBA)",McNeil Consumer Healthcare,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218437.htm
603,"Wed, 07 Jul 2010 00:00:00 -0400",Ready Pac,Baby Spinach,E. coli O157:H7,Ready Pac Foods Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218325.htm
604,"Mon, 05 Jul 2010 11:45:00 -0400","Simply Fresh Fruit, Miller&#39;s Ale House",Sliced apples,Listeria monocytogenes,"Marjon Specialty Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218714.htm
605,"Fri, 02 Jul 2010 20:57:00 -0400",Merrick,Pet treats for dogs,Salmonella,"Merrick Pet Care, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218039.htm
606,"Fri, 02 Jul 2010 00:00:00 -0400",Pro-Pet,Vitamin tablets for dogs,Salmonella,United Pet Group,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217999.htm
607,"Fri, 02 Jul 2010 00:00:00 -0400",Fairway and Setton Farms,Trail Mix,Undeclared peanuts and chocolate flavored chips,"Setton International Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217992.htm
608,"Thu, 01 Jul 2010 18:51:00 -0400",Queso El Azteca,Cheese,Listeria monocytogenes,Azteca Linda Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217902.htm
609,"Thu, 01 Jul 2010 11:39:00 -0400",Feline&#39;s Pride,Cat Food,Salmonella,Feline&#39;s Pride,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217826.htm
610,"Wed, 30 Jun 2010 18:00:00 -0400",Chicken of the Sea,Canned tuna,Loose can seams,Tri-Union Seafoods LLC,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217779.htm
611,"Wed, 30 Jun 2010 00:00:00 -0400",Roba Dolce,,Undeclared peanuts,"I Dolce, Inc. dba Roba Dolce",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217854.htm
612,"Wed, 30 Jun 2010 00:00:00 -0400",Fuma,Custard Pie,Undeclared milk powder,"Domega NY International Co., LTD",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217836.htm
613,"Tue, 29 Jun 2010 00:00:00 -0400",Champion Nutrition,Whey Protein,Undeclared peanuts,Champion Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm218764.htm
614,"Fri, 25 Jun 2010 06:00:00 -0400",Pure Base,Garlic Spread,Allergens,"Pure Base Distribution, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217403.htm
615,"Fri, 25 Jun 2010 00:00:00 -0400",Kellogg,Cereal,Off odor,Kellogg Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217338.htm
616,"Fri, 25 Jun 2010 00:00:00 -0400",Magic Power Coffee,,"Contains undeclared hydroxythiohomosildenafil, an analog of Sildenafil",INZ Distributors Inc./Magic Power Coffee Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217482.htm
617,"Thu, 24 Jun 2010 15:15:00 -0400","Krisp-Pak, Lancaster Fresh, Giant, and America&#39;s Choice",Fresh Spinach,Listeria monocytogenes,"Lancaster Foods, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217207.htm
618,"Thu, 24 Jun 2010 00:00:00 -0400",Sinex,Nasal Spray,may not meet package expiration date,The Procter &amp; Gamble Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm217376.htm
619,"Tue, 22 Jun 2010 21:51:00 -0400",Pro-Pet,Vitamin tablets for dogs,Salmonella,United Pet Group,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm216903.htm
620,"Fri, 18 Jun 2010 16:34:00 -0400",Natural Balance,Sweet Potato &amp; Chicken Dry Dog Food,Salmonella,"Natural Balance Pet Foods, Inc.,",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm216298.htm
621,"Fri, 18 Jun 2010 11:45:00 -0400",Allen,Bavarian Crème Filling,Allergens,Rich Products Corporation,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm216334.htm
622,"Fri, 18 Jun 2010 08:35:00 -0400",Kent Feeds Swine Products,Numerous finished swine feeds,Insufficient vitamin D levels,"Kent Nutrition Group, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm216217.htm
623,"Fri, 18 Jun 2010 00:00:00 -0400",Meat Without Feet,"Cooked, ready to eat frozen lobster claw and knuckle meat",Listeria monocytogenes,"Portland Shellfish Company, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm216371.htm
624,"Tue, 15 Jun 2010 09:33:00 -0400",Portland Shellfish Co. Inc brand; Claw island; Craig’s All Natural; and Inland Ocean,"cooked, fresh or frozen lobster claw and knuckle meat",Potential contamination with Listeria monocytogenes,"Portland Shellfish Company, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2010/ucm215524.htm
