DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK,upc
"Fri, 02 May 2014 00:00:00 -0400",Caravelle,Chili powder,Salmonella,Anhing Corporation,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395859.htm,,['080736115551']
"Fri, 02 May 2014 00:00:00 -0400",GemStar,Docking station that is used in conjunction with infusion pump,"Potential malfunctions that may occur with the docking
station",Hospira Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395828.htm,,['1315013086']
"Fri, 02 May 2014 00:00:00 -0400",American Importing Co.,Cinnamon Crunch Granola,Undeclared Almonds,"American Importing Co., Inc",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm399112.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm399120.htm,['071725725110']
"Thu, 01 May 2014 20:01:00 -0400",Noh Foods of Hawaii,Hawaiian coconut pudding (Haupia),Undeclared milk,Noh Foods of Hawaii,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395749.htm,,"['073562000504', '073562000559', '073562000511']"
"Thu, 01 May 2014 00:00:00 -0400",Owl Canyon,Eggs,Salmonella,"Sixdog Investments, LLC",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395990.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395993.htm,[]
"Tue, 29 Apr 2014 17:38:00 -0400","Roche, Tatiomax, Saluta and more","Vitamin C, Collagen and Glutathione products",Unapproved Drugs,Flawless Beauty and Skin,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395356.htm,,['700175760302']
"Tue, 29 Apr 2014 00:00:00 -0400",Lite Fit USA,Herbal Dietary Supplement,Product contains sibutramine,Bacai Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395538.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395540.htm,[]
"Sat, 26 Apr 2014 00:00:00 -0400",Private Selection,Chocolate Hazelnut Mascarpone Ice cream &amp; Caramel Hazelnut Fudge Truffle Ice cream,Undeclared eggs,The Kroger Co.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395463.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395463.htm,"['1111052100', '1111052101']"
"Fri, 25 Apr 2014 13:21:00 -0400",Stonyfield,YoBaby Peach/Pear Yogurt Cups,Potential coliform contamination,Stonyfield,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395029.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm395030.htm,['052159701161']
"Thu, 24 Apr 2014 00:00:00 -0400",Brilliant,Cake,Undeclared eggs,Domega NY International Co Ltd,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm397091.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm397096.htm,[]
"Wed, 23 Apr 2014 17:31:00 -0400",Miravalle,Ground Annato,Salmonella,"Miravalle Foods, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394670.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394671.htm,['712810005020']
"Mon, 21 Apr 2014 17:36:00 -0400",Wegmans,Easter Bread,Undeclared egg,"Wegmans Food Markets, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394249.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394811.htm,['7789032431']
"Mon, 21 Apr 2014 17:36:00 -0400",Nano Well-being Health,Dietary Supplement - Super Arthgold,Unapproved new drug,Nano Well-being Health Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394631.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394636.htm,[]
"Mon, 21 Apr 2014 00:00:00 -0400","Hospira, Inc.","0.25% Marcaineâ¢ (Bupivacaine HCl Injection, USP), 10 mL, Single-dose Vial â Preservative Free",Discolored solution with visible particles embedded in the glass,"Hospira, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394340.htm,,[]
"Sat, 19 Apr 2014 00:00:00 -0400",Hickory Farms Farmstand Recipe,Chipotle Ranch Sauce,Undeclared Milk,Hickory Farms,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394062.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394064.htm,[]
"Fri, 18 Apr 2014 18:43:00 -0400",Whole Foods,Mini Butter Croissants,Undeclared egg,Whole Foods Market Southwest Region,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394021.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394022.htm,['228719004991']
"Fri, 18 Apr 2014 17:04:00 -0400",Hospira,"1% Lidocaine HCI Injection, USP",Presence of visible particulates,"Hospira, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394020.htm,,[]
"Fri, 18 Apr 2014 00:00:00 -0400",CUBICIN,Daptomycin for injection,Presence of particulate matter,"Cubist Pharmaceuticals, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393961.htm,,[]
"Fri, 18 Apr 2014 00:00:00 -0400","Dominex Natural Foods, LLC",AngelBowls Corkscrew Pasta and Creamy Tomato Vodka Sauce,Undeclared allergen - pine nuts,"Dominex Natural Foods, LLC",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394346.htm,,['2780607001']
"Thu, 17 Apr 2014 17:15:00 -0400",Price Chopper,White Bean Hummus,Undeclared milk,Price Chopper Supermarkets,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393842.htm,,[]
"Thu, 17 Apr 2014 00:00:00 -0400",Hospira,"Propofol Injectable Emulsion, USP",Visible Particulates,"Hospira, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393849.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393850.htm,[]
"Wed, 16 Apr 2014 15:45:00 -0400",Thursday Plantation Tea Tree,Cosmetic mouthwash,Bacterial contamination,"Natural Organics, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393552.htm,,[]
"Wed, 16 Apr 2014 15:08:00 -0400","Purina, Del&#39;s, Albers, Home Grown",Poultry feed,Low vitamin and mineral content,Purina Animal Nutrition LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393549.htm,,"['804273029559', '749394513269', '883576003237', '749394513276', '883576003251', '804273029634', '804273029573', '804273038728', '804273029542', '883576010792']"
"Mon, 14 Apr 2014 00:00:00 -0400",Organic Traditions,Candy,Undeclared milk,"Health Matters America, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393402.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm394723.htm,"['854260002638', '854260007183', '854260002669', '854260007091']"
"Sat, 12 Apr 2014 00:00:00 -0400",Private Selection,Strawberry Sorbet,Undeclared milk,The Kroger Co.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393215.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393217.htm,['1111052108']
"Fri, 11 Apr 2014 12:48:00 -0400",Pipeline and Alligator,Embolization Device and Retrieval Device,Polytetrafluoroethylene (PTFE) coating applied to the delivery wire could delaminate and detach from the devices,Covidien,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392987.htm,,[]
"Fri, 11 Apr 2014 00:00:00 -0400",Golden Smell,Meat Ball Medley,Undeclared egg,Strong America Limited,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm396944.htm,,[]
"Fri, 11 Apr 2014 00:00:00 -0400",Archer Farms,Chocolate Hazelnut Swirl Gelato,Undeclared peanuts,SINCO Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392999.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393001.htm,['085239703618']
"Fri, 11 Apr 2014 00:00:00 -0400",YF Sesame Flavor Cracker,YF Sesame Flavor Cracker,Undeclared peanuts,Domega NY International Co Ltd,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm396977.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm396982.htm,[]
"Thu, 10 Apr 2014 00:00:00 -0400",Bissingerâs,Dark Chocolate Bunny Ears,Undeclared milk,Karl Bissingerâs LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392779.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392780.htm,['846107009795']
"Thu, 10 Apr 2014 00:00:00 -0400",Fernandez,Chile Molido Puro and Chile Rojo,Salmonella,Fernandez Chile Company Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392887.htm,,"['7760110053', '7760110011']"
"Thu, 10 Apr 2014 00:00:00 -0400",Fernandez,(In Spanish/En Espanol)Chile Molido Puro and Chile Rojo,Salmonella,Fernandez Chile Company Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393041.htm,,"['7760110053', '7760110011']"
"Wed, 09 Apr 2014 15:04:00 -0400",Lisy,Sweet basil (Albahaca),Salmonella,Lisy Corporation,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392650.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392657.htm,['096786300328']
"Wed, 09 Apr 2014 00:00:00 -0400",Thinogenics,Weight loss capsules,Undeclared Sibutramine,Nature&#39;s Universe,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm393876.htm,,[]
"Wed, 09 Apr 2014 00:00:00 -0400","Frontier, Whole Foods Market 365, Simply Organic, Natureâs Place, Mejier and Sprouts",Organic Black Peppercorns,Salmonella,Frontier Natural Products Co-op,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392585.htm,,"['099482739140', '874875004254', '099482445638', '089836192189', '089836185242', '099482445119', '099482444976', '089836182630', '713733781732', '089836026033', '725439952736', '089836826039', '089836184351', '089836192103']"
"Tue, 08 Apr 2014 15:37:00 -0400",Grandma&#39;s,Potato and Bacon Perogies,Undeclared soy,Buffalo SAV Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392417.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392419.htm,[]
"Tue, 08 Apr 2014 00:00:00 -0400",Abady,Cat food,Salmonella,"Robert Abady Dog Food Co.,",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392618.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392621.htm,[]
"Mon, 07 Apr 2014 15:33:00 -0400",Trader Giotto&#39;s,Caesar Salad with Caesar Dressing,"Undeclared egg, fish (anchovy), soy and wheat","H Group, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392171.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392174.htm,[]
"Mon, 07 Apr 2014 00:00:00 -0400",Natural Grocers,Organic Black Peppercorns,Salmonella,"Vitamin Cottage Natural Food Markets, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392330.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392332.htm,[]
"Fri, 04 Apr 2014 21:23:00 -0400","Frontier, Sprouts, Simply Organic",Organic Black Peppercorns,Salmonella,Sprouts Farmers Market Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391991.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391993.htm,"['089836185242', '874875004254', '089836026033']"
"Fri, 04 Apr 2014 20:38:00 -0400",Whole Foods,Chipotle Chicken wrap,Undeclared fish,Whole Foods Market,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391988.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391989.htm,['04631997076']
"Fri, 04 Apr 2014 00:00:00 -0400",Swanson Health Products,Herbal supplement,Salmonella,Swanson,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm392763.htm,,[]
"Thu, 03 Apr 2014 20:42:00 -0400",AH!LASKA,Chocolate mix,Undeclared milk,Koru Pacific Packaging Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391776.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391777.htm,['760519100287']
"Thu, 03 Apr 2014 19:54:00 -0400",Thursday Plantation Tea Tree,Cosmetic mouthwash,Bacterial contamination,"Natural Organics, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391771.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391852.htm,[]
"Thu, 03 Apr 2014 16:25:00 -0400",Emparedados Boricua (In Spanish/En Espanol),Chicken and Cheese (Pollo &amp; Queso) Sandwich,Undeclared eggs,Emparedados Boricua,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391762.htm,,[]
"Thu, 03 Apr 2014 14:03:00 -0400",Emparedados Boricua,Chicken and Cheese  (Pollo and Queso) Sandwich,Undeclared eggs,Emparedados Boricua,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391688.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391691.htm,[]
"Wed, 02 Apr 2014 11:39:00 -0400",Evita V500 and Babylog VN500,PS500 Power Supply Unit Ventilators,the batteries installed in the PS500 depleted much earlier than expected,Draeger,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391472.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391474.htm,[]
"Tue, 01 Apr 2014 00:00:00 -0400","African Black Ant, XZen Gold, Xzone and more",Dietary Supplement,Unapproved new drug,"Nova Products, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391045.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391403.htm,[]
"Mon, 31 Mar 2014 00:00:00 -0400",Lao Thai Nam,Salted fish,Potential to be contaminated with Clostridium botulinum,Lao Thai Nam Corp.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391226.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391227.htm,['884332000194']
"Fri, 28 Mar 2014 21:27:00 -0400",Fresh Express,Italian Salad,Listeria monocytogenes,Fresh Express Incorporated,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391048.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391053.htm,['071279211008']
"Fri, 28 Mar 2014 00:00:00 -0400",Elf,Herring Fillets in Wine Sauce,Undeclared Milk,Vita Food Products Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391106.htm,,[]
"Thu, 27 Mar 2014 19:35:00 -0400",Luna,Chocolate bars,Undeclared macadamia nuts,Clif Bar and Company,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390934.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390935.htm,"['722252100689', '722252200686']"
"Thu, 27 Mar 2014 11:23:00 -0400",Alprose,Variety of Dark chocolates,Undeclared milk,BBM Chocolate Distributors,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390844.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390846.htm,"['689423027308', '689423025038', '712963000354']"
"Thu, 27 Mar 2014 00:00:00 -0400",Alli,Alli Weight Loss Product,Concerns about authenticity of product,GlaxoSmithKline (GSK) Consumer Healthcare,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm391004.htm,,[]
"Wed, 26 Mar 2014 16:11:00 -0400",Orton Bros.,Cookies,Undeclared peanuts,Vermont Common Foods,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390772.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390773.htm,['2010419100']
"Wed, 26 Mar 2014 15:00:00 -0400",Oscars Smokehouse Inc.,Cheese Spread,Listeria monocytogenes,Oscars Smokehouse Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390751.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390752.htm,[]
"Wed, 26 Mar 2014 12:29:00 -0400",Bella Vi,Dietary Supplement,Products contain undeclared Sibutramine and/or combination of Sibutramine and Phenolphthalein,"Pure Edge Nutrition, LLC.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390693.htm,,[]
"Tue, 25 Mar 2014 17:07:00 -0400","Super Fat Burner, Maxi Gold, and Esmeralda",Dietary Supplement,Unapproved new drug,New Life Nutritional Center,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390608.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390609.htm,[]
"Sat, 22 Mar 2014 00:00:00 -0400","Parkers, Happy Farms, Central Markets, Amish Classic, more","Peanut butter, cheese, salsa, and spreads",Listeria monocytogenes,"Parkers Farm Acquisition, LLC",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm390421.htm,,[]
"Wed, 19 Mar 2014 17:39:00 -0400",Helados La Tapatia (In Spanish/En Espanol),Ice cream products,Listeria monocytogenes,"Helados La Tapatia, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389908.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389758.htm,[]
"Wed, 19 Mar 2014 15:34:00 -0400",Harryâs Farmers Market,Amberjack,Consumer illness,Harryâs Farmers Market,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389737.htm,,[]
"Wed, 19 Mar 2014 13:37:00 -0400",Helados La Tapatia,Ice cream products,Listeria monocytogenes,"Helados La Tapatia, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389712.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389758.htm,[]
"Tue, 18 Mar 2014 15:00:00 -0400",Playtex,AC/DC power adapters used with breast pump,Potential for electric shock,"Playtex Manufacturing, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389542.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389545.htm,[]
"Tue, 18 Mar 2014 14:26:00 -0400",HemoSet,Dual channel infusion set,Over-delivery may occur by gravity infusion,"Hospira, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389533.htm,,[]
"Tue, 18 Mar 2014 00:00:00 -0400",Pleo,Homeopathic Drug Products,Penicillin contamination,"Terra-Medica, Inc",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389832.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389918.htm,[]
"Mon, 17 Mar 2014 00:00:00 -0400",Fannie May,Assorted chocolates,Undeclared peanuts,"Fannie May Confections Brands, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389402.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389405.htm,['052745728046']
"Mon, 17 Mar 2014 00:00:00 -0400",Simply Lite,Dark Chocolate Bar,Undeclared milk,"Simply Natural Foods, LLC",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389406.htm,,[]
"Fri, 14 Mar 2014 21:57:00 -0400",FreeStyle&amp;reg; &amp; FreeStyle Flash&amp;reg;,Blood Glucose Meter,May produce mistakenly low blood glucose results,Abbott,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389357.htm,,[]
"Fri, 14 Mar 2014 19:43:00 -0400",SNI,"Maeng Da Kratom, Max Kratom, and Bali Kratom",Products contain Kratom (Mitragyna Speciosa),SNI National,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389350.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389351.htm,[]
"Fri, 14 Mar 2014 13:52:00 -0400",Shire Pharmaceuticals,VPRIVÂ® (velaglucerase alfa for injection),"Presence of visible particulate matter, identified as stainless steel and barium sulfate",Shire Pharmaceuticals,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389300.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389304.htm,[]
"Fri, 14 Mar 2014 00:00:00 -0400",Infinite Herbs LLC,Organic basil,Salmonella,Infinite Herbs LLC,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389386.htm,,[]
"Thu, 13 Mar 2014 17:42:00 -0400",Kirkland Signature,Sliced Fruit,Salmonella,"Oregon Freeze Dry, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389177.htm,,[]
"Thu, 13 Mar 2014 00:00:00 -0400","Dole, Fresh Selections and more",Variety of Bagged salads,Listeria monocytogenes,Dole Fresh Vegetables Inc.,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389296.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389329.htm,"['7143000819', '4149811014', '8113102780', '1111091045']"
"Wed, 12 Mar 2014 17:39:00 -0400",Pain Free By Nature,Reumofan Plus tablets (In Spanish/En Espanol),Contain undeclared active pharmaceutical ingredients: methocarbamol and diclofenac,Pain Free By Nature,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389293.htm,,[]
"Wed, 12 Mar 2014 00:00:00 -0400",Pain Free By Nature,Reumofan Plus tablets,Contain undeclared active pharmaceutical ingredients: methocarbamol and diclofenac,Pain Free By Nature,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389049.htm,http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm389050.htm,[]
"Tue, 11 Mar 2014 00:00:00 -0400","Greatbatch, Inc.",Standard Offset Cup Impactors,Sterilization recommendation in the Instructions for Use for the product did not meet requirements for sterility assurance,"Greatbatch, Inc.",http://wayback.archive-it.org/7993/20170406200141/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm388883.htm,,[]
