Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Veterinary","No","","78865","Ongoing","Pet Apothecary Llc","8850 N Port Washington Rd","","Milwaukee","WI","	53217-1676","United States","Voluntary: Firm initiated","Telephone","IL","V-0099-2018","Class I","Phenobarbital Capsule, 6 MG. The Pet Apothecary, 407 W. Silver Spring Dr., Milwaukee, WI 53217.  NDC: 38779-0852-05","60 capsules","Animal drug is superpotent.","10/20/2017","06/28/2018","","06/06/2018","Lot: 224590"
"Devices","No","","79822","Ongoing","Torax Medical, Inc.","4188 Lexington Ave N","","Shoreview","MN","	55126-6106","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (nationwide) in states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY; and in countries of: Austria, France, Germany, Italy, Scotland, Spain, Switzerland, United Kingdom.","Z-2041-2018","Class II","LINX Reflux Management System, Implant Clasp, 13-16 Bead, 1.5T, Product Code LXM-xx, sterile, Rx only.  Labeled as:    a. Product Code LXM-13;    b. Product Code LXM-14;   c. Product Code LXM-15;    d. Product Code LXM-16;       Laparoscopic, fundic-sparing anti-reflux procedure indicated for patients diagnosed with Gastroesophageal Reflux Disease (GERD) as defined by abnormal pH testing, and who are seeking an alternative to continuous acid suppression therapy (i.e. proton pump inhibitors or equivalent) in the management of their GERD.","9,131 devices in total","Possible out of specification condition which may allow a bead component to separate from an adjacent wire link. This condition may result in a discontinuous or open LINX device.","04/20/2018","05/31/2018","","06/06/2018","a. Product Code LXM-13, Part No. 4549-13, GTIN 00855106005394;   b. Product Code LXM-14, Part No. 4549-14, GTIN 00855106005400;    c. Product Code LXM-15, Part No. 4549-15, GTIN 00855106005417;    d. Product Code LXM-16, Part No. 4549-16, GTIN 00855106005424;         Lot No. 6100 through 14055, 15286, 15287, 15314, 15315, 15317, and 16557"
"Biologics","No","","79882","Terminated","South Texas Blood & Tissue Center","6211 W Interstate 10","","San Antonio","TX","	78201-2023","United States","Voluntary: Firm initiated","FAX","Texas","B-0598-2018","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood product, collected from a donor for whom donor suitability was not adequately determined, was distributed.","02/20/2018","05/30/2018","05/30/2018","06/06/2018","W140917073588"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1957-2018","Class II","Catheter Hemostasis Valve For use with .038"" (.096 cm) dia. and smaller guide wires; Product Code: AI-07000  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17C0232  13F17G0194  13F17H0047  13F17J0083"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1958-2018","Class II","Continuous Nerve Block Needle; Product Codes:  AB-00090, AB-00150, AB-17040-N, AB-17080-N, AB-17110-N, AB-17140-N, AB-18080-N, AB-18110-N    ","416, 055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17G0253  13F17A0200  13F17F0505  13F17G0256  13F17J0455  13F17C0193  13F17K0105  13F17C0198  13F17J0280  13F17A0063  13F17A0061  13F17B0252  13F17F0190  13F17L0701  13F17A0064  13F17C0225  13F17D0342  13F17J0229  13F17K0592  13F17M0002  13F17A0201  13F17D0246"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1959-2018","Class II","Echogenic Introducer Needle; Product Code: AN-04318    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0231  13F17B0321  13F17C0241  13F17D0233  13F17E0301  13F17E0725  13F17F0603  13F17G0193  13F17J0089  13F17K0232  13F17L0230  13F17L0231  13F17L0232  13F17L0233"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1960-2018","Class II","Spring Wire Guide Introducer Needle; Product Codes: AN-04320 and AN-04418    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product code AN-04320: 13F17A0131,13F17B0101,13F17B0320,13F17D0234,  13F17F0242,13F17H0488,13F17J0454,13F17M0003  Product code AN-04418: 13F17F0738 and 13F17J0445"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1961-2018","Class II","Epidural Needle; Product Codes: AN-05501 and AN-05505      ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product code AN-05501:   13F17A0211  13F17B0082  13F17C0378  13F17D0082  13F17E0023  13F17E0329  13F17E0838  13F17F0432  13F17F0813  13F17G0333  13F17H0059  13F17J0002  13F17L0598  Product code AN-05505:   13F17A0213  13F17C0109  13F17C0479  13F17E0208  13F17F0254  13F17F0727  13F17G0357  13F17J0161  13F17J0274  13F17L0441"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1962-2018","Class II","SnapLock"" Catheter/Syringe Adapter; Product Code: AS-05500    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0065  13F17B0190  13F17D0264  13F17F0246  13F17F0653  13F17J0082  13F17K0412"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1963-2018","Class II","Maximal Barrier Drape; Product Codes: ASK-00001-1A","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0104  13F17F0318  13F17G0569  13F17J0423  13F17L0130"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1964-2018","Class II","Maximal Barrier Drape; Product Codes: ASK-00002-1A","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0212  13F17D0025  13F17D0154  13F17E0193  13F17F0352  13F17G0102  13F17G0102  13F17G0347  13F17H0347  13F17K0324  13F17K0377  13F17L0462"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1965-2018","Class II","Maximal Barrier Drape; Product Codes: ASK-00376-SU","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0089  13F17L0152"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1966-2018","Class II","Maximal Barrier Drape; Product Code: ASK-01000-UPMS","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0280  13F17H0434  13F17L0480"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1967-2018","Class II","Maximal Barrier Drape; Product Code: ASK-04000-HMC    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0216  13F17D0073  13F17F0163  13F17G0522  13F17H0487  13F17L0121  13F17L0651"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1968-2018","Class II","Radial Arterial Access Kit; Product Code: ASK-04001-BID2    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0195  13F17D0213  13F17F0428  13F17K0314  13F17L0113"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1969-2018","Class II","Arterial Line Kit with Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-04018-OH1      ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0562  13F17G0537  13F17K0188  13F17L0167"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1970-2018","Class II","Radial Artery Catheterization Kit; Product Codes: ASK-04020-AH, ASK-04020-MIHS, ASK-04120-HF1      ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   Product code ASK-04020-AH:  13F17B0102  13F17C0283  13F17F0221  13F17G0480  13F17J0045  13F17L0127      Product code ASK-04020-MIHS:  13F17A0174  13F17F0139      Product code ASK-04120-HF1:  13F17C0360  13F17D0034  13F17E0093  13F17F0468  13F17G0269  13F17J0101  13F17K0311  13F17L0489"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1971-2018","Class II","Arterial Catheterization Kit; Product Codes: ASK-04020-DH        ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0307  13F17D0070  13F17E0417  13F17G0012  13F17G0508  13F17H0421  13F17L0155  13F17L0478"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1972-2018","Class II","Radial Artery Catheterization Kit with Sharps Safety Features; Product Codes: ASK-04020-RIHM          ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17C0179  13F17E0655  13F17G0301  13F17H0284  13F17K0566  13F17M0019"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1973-2018","Class II","Radial Artery Catheterization Kit with Sharps Safety Features; Product Codes: ASK-04120-HF              ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17C0281  13F17G0398"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1974-2018","Class II","Single-Lumen Central Venous Catheterization Kit with Blue FlexTip(R) Catheter and Sharps Safety Features; Product Codes: ASK-04301-TJ                ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0674  13F17G0265  13F17J0087  13F17K0099  13F17L0250"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1975-2018","Class II","Arrow-Flex(R) Percutaneous Sheath Introducer Kit with ARROWg+ard Blue(R) Sheath and Integral Hemostasis Valve/Side Port for use with 7.5 - 8 Fr. Catheters  ; Product Codes: ASK-09903-UM                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0258  13F17D0075  13F17G0275  13F17L0615"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1976-2018","Class II","Percutaneous Sheath Introducer Kit with Integral Hemostasis Valve/Side Port for use with 7.5 - 8 Fr. Catheters; Product Code: ASK-09903-UPA                  ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17E0762  13F17F0599  13F17H0058  13F17J0241  13F17L0114  13F17L0485"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1977-2018","Class II","Percutaneous Sheath Introducer Kit with Integral Hemostasis Valve/Side Port and Sharps Safety Features (Recommended for use with 7 Fr. Catheters); Product Code: ASK-09907-SB                    ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17D0180  13F17H0192  13F17K0223  13F17K0555"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1978-2018","Class II","Two-Lumen Central Venous Catheterization Kit with Blue FlexTip(R) Catheter and Sharps Safety Features; Product Code: ASK-15402-HOP                      ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17C0183  13F17F0775"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1979-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit with Blue FlexTip(R) Catheter, Sharps Safety Features and Maximal Barrier Precautions; Product Code: ASK-15703-LDP1                        ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17B0389  13F17E0430  13F17F0580  13F17H0545  13F17K0403  13F17L0285"
"Devices","No","","79890","Ongoing","Arrow International Inc","2400 Bernville Rd","","Reading","PA","	19605-9607","United States","Voluntary: Firm initiated","Letter","US Nationwide, AUSTRALIA, AUSTRIA, BELGIUM, CANADA, CZECH REPUBLIC, DENMARK, ECUADOR, FRANCE, GERMANY, GREECE, HONG KONG, INDONESIA, IRELAND, ITALY, JAPAN, KOREA, NETHERLANDS, NEW ZEALAND, PANAMA, PHILIPPINES, POLAND, PUERTO RICO, ROMANIA, SAUDI ARABIA, SINGAPORE, SLOVENIA, SOUTH AFRICA, SPAIN, SWEDEN, SWITZERLAND, THAILAND, TRINIDAD AND TOBAGO, UNITED KINGDOM","Z-1980-2018","Class II","Pressure Injectable Multi-Lumen Central Venous Catheterization Kit; Product Code: ASK-15703-PHMC                        ","416,055 total products","Product sterility may be compromised due to unsealed packaging.","04/11/2018","05/30/2018","","06/06/2018","Lot Numbers:   13F17A0285  13F17C0381  13F17D0214  13F17E0356  13F17F0736  13F17H0483"
